R_Fighter,B_Fighter,R_Status,B_Status,URL,last_round,last_round_time,format,referee,fight_type,date,location,R_KD,B_KD,R_SIG_STR,B_SIG_STR,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR,B_TOTAL_STR,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND
Hector Urbina,Bartosz Fabinski,L,W,http://ufcstats.com/fight-details/2a702055a79d95a7,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Welterweight Bout,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",0,0,0 of 2,8 of 11,0%,72%,1 of 3,42 of 54,0 of 0,2 of 3,---,66%,0,0,0,0,0:00,4:51,0 of 2,8 of 11,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,1 of 1,0 of 0,0 of 0,0 of 0,7 of 10
Erick Montano,Enrique Marin,W,L,http://ufcstats.com/fight-details/06c124a55f77a7a5,3,5:00,3 Rnd + OT (5-5-5-5),Gary Copeland,Ultimate Fighter Latin America 2 Welterweight Tournament Title Bout,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",0,0,20 of 34,9 of 38,58%,23%,22 of 36,13 of 44,1 of 2,0 of 0,50%,---,0,0,0,1,0:51,1:02,15 of 26,7 of 34,2 of 3,0 of 1,3 of 5,2 of 3,18 of 32,9 of 36,2 of 2,0 of 1,0 of 0,0 of 1
Gabriel Benitez,Andre Fili,L,W,http://ufcstats.com/fight-details/f5eae75fc240aaa6,1,3:13,3 Rnd (5-5-5),John McCarthy,Featherweight Bout,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",0,1,11 of 26,16 of 42,42%,38%,11 of 26,16 of 42,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:07,3 of 16,10 of 34,2 of 2,4 of 4,6 of 8,2 of 4,11 of 25,15 of 41,0 of 1,1 of 1,0 of 0,0 of 0
Neil Magny,Kelvin Gastelum,W,L,http://ufcstats.com/fight-details/d3ccf71e68480007,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Welterweight Bout,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",0,0,7 of 26,10 of 12,26%,83%,17 of 37,10 of 12,2 of 3,0 of 1,66%,0%,0,0,0,0,1:55,0:33,6 of 22,5 of 7,0 of 1,1 of 1,1 of 3,4 of 4,3 of 21,9 of 11,0 of 0,1 of 1,4 of 5,0 of 0
Erik Perez,Taylor Lapilus,W,L,http://ufcstats.com/fight-details/83b32e9300fec365,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Bantamweight Bout,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",0,0,10 of 48,15 of 45,20%,33%,10 of 48,15 of 45,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:02,6 of 39,8 of 34,4 of 7,3 of 4,0 of 2,4 of 7,9 of 46,14 of 44,1 of 2,1 of 1,0 of 0,0 of 0
Valmir Lazaro,Michel Prazeres,L,W,http://ufcstats.com/fight-details/d6482fcb69b04904,3,5:00,3 Rnd (5-5-5),Gary Copeland,Lightweight Bout,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",0,0,18 of 48,13 of 26,37%,50%,18 of 48,13 of 26,0 of 0,1 of 5,---,20%,0,0,0,0,0:00,0:12,10 of 38,9 of 21,1 of 3,0 of 0,7 of 7,4 of 5,18 of 48,13 of 26,0 of 0,0 of 0,0 of 0,0 of 0
Jussier Formiga,Henry Cejudo,L,W,http://ufcstats.com/fight-details/e8d087f822be7b02,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Flyweight Bout,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",0,0,9 of 29,15 of 43,31%,34%,13 of 34,20 of 48,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:11,4 of 21,3 of 27,5 of 7,10 of 11,0 of 1,2 of 5,4 of 22,5 of 30,5 of 7,10 of 13,0 of 0,0 of 0
Cesar Arzamendia,Marco Polo Reyes,L,W,http://ufcstats.com/fight-details/84d89d2f36d07dc0,1,3:42,3 Rnd (5-5-5),Mario Yamasaki,Lightweight Bout,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",0,1,16 of 46,10 of 31,34%,32%,23 of 54,15 of 36,3 of 4,0 of 0,75%,---,0,0,0,0,1:12,0:02,7 of 33,9 of 27,7 of 11,1 of 3,2 of 2,0 of 1,10 of 35,6 of 26,6 of 9,2 of 3,0 of 2,2 of 2
Efrain Escudero,Leandro Silva,L,W,http://ufcstats.com/fight-details/4e3611c9a9e20ff0,3,5:00,3 Rnd (5-5-5),John McCarthy,Lightweight Bout,"November 21, 2015","Monterrey, Nuevo Leon, Mexico",0,0,10 of 30,15 of 37,33%,40%,19 of 40,15 of 37,0 of 1,0 of 0,0%,---,0,0,0,0,1:04,0:20,1 of 14,7 of 23,6 of 9,6 of 10,3 of 7,2 of 4,8 of 24,14 of 34,2 of 6,1 of 3,0 of 0,0 of 0
Daniel Kelly,Steve Montgomery,W,L,http://ufcstats.com/fight-details/d5149f02b1ee7dc6,3,5:00,3 Rnd (5-5-5),Herb Dean,Middleweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",0,0,25 of 43,7 of 34,58%,20%,55 of 74,8 of 35,3 of 3,0 of 0,100%,---,0,0,0,0,3:33,0:00,24 of 42,3 of 29,1 of 1,4 of 5,0 of 0,0 of 0,7 of 18,4 of 30,3 of 4,2 of 3,15 of 21,1 of 1
Stefan Struve,Jared Rosholt,L,W,http://ufcstats.com/fight-details/98301c092f00cb01,3,5:00,3 Rnd (5-5-5),Herb Dean,Heavyweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",0,0,5 of 8,10 of 18,62%,55%,6 of 9,20 of 28,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,2:46,1 of 3,3 of 11,4 of 5,2 of 2,0 of 0,5 of 5,5 of 8,6 of 12,0 of 0,0 of 0,0 of 0,4 of 6
Jake Matthews,Akbarh Arreola,W,L,http://ufcstats.com/fight-details/0f85a1d9ce42d13e,2,5:00,3 Rnd (5-5-5),Greg Kleynjans,Lightweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",0,1,21 of 48,19 of 39,43%,48%,24 of 54,20 of 40,0 of 2,0 of 0,0%,---,0,0,0,0,0:59,1:59,14 of 39,16 of 32,3 of 4,1 of 4,4 of 5,2 of 3,7 of 18,8 of 20,3 of 4,0 of 1,11 of 26,11 of 18
Anthony Perosh,Gian Villante,L,W,http://ufcstats.com/fight-details/1dfbdd569585812f,1,2:56,3 Rnd (5-5-5),Greg Kleynjans,Light Heavyweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",0,1,6 of 32,19 of 34,18%,55%,7 of 33,19 of 34,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:01,6 of 30,12 of 26,0 of 2,5 of 6,0 of 0,2 of 2,6 of 30,17 of 31,0 of 2,2 of 3,0 of 0,0 of 0
Kyle Noke,Peter Sobotta,W,L,http://ufcstats.com/fight-details/77185ff8b4dade6a,1,2:01,3 Rnd (5-5-5),Steve Perceval,Welterweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",1,0,23 of 43,2 of 6,53%,33%,24 of 44,2 of 6,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:14,13 of 30,2 of 5,2 of 4,0 of 1,8 of 9,0 of 0,11 of 21,2 of 6,0 of 0,0 of 0,12 of 22,0 of 0
Ronda Rousey,Holly Holm,L,W,http://ufcstats.com/fight-details/08af25ef4252b138,2,0:59,5 Rnd (5-5-5-5-5),Herb Dean,UFC Women's Bantamweight Title Bout,"November 14, 2015","Melbourne, Victoria, Australia",0,0,15 of 50,27 of 40,30%,67%,19 of 54,27 of 40,0 of 1,1 of 1,0%,100%,0,0,0,0,0:04,0:12,11 of 44,19 of 32,4 of 6,3 of 3,0 of 0,5 of 5,11 of 45,23 of 35,4 of 5,4 of 4,0 of 0,0 of 1
Joanna Jedrzejczyk,Valerie Letourneau,W,L,http://ufcstats.com/fight-details/391d458db6dae33b,5,5:00,5 Rnd (5-5-5-5-5),Steve Perceval,UFC Women's Strawweight Title Bout,"November 14, 2015","Melbourne, Victoria, Australia",0,0,19 of 40,11 of 27,47%,40%,23 of 44,26 of 45,0 of 0,1 of 1,---,100%,0,0,0,0,2:12,0:22,6 of 24,9 of 22,7 of 10,2 of 4,6 of 6,0 of 1,16 of 35,4 of 19,3 of 5,2 of 3,0 of 0,5 of 5
Richard Walsh,Steve Kennedy,W,L,http://ufcstats.com/fight-details/f281a6775bccb8df,3,5:00,3 Rnd (5-5-5),John Sharp,Welterweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",0,0,34 of 63,10 of 34,53%,29%,34 of 63,13 of 37,0 of 0,2 of 2,---,100%,0,0,0,0,0:06,2:21,17 of 43,10 of 33,4 of 5,0 of 1,13 of 15,0 of 0,25 of 48,9 of 31,9 of 15,0 of 1,0 of 0,1 of 2
Ben Nguyen,Ryan Benoit,W,L,http://ufcstats.com/fight-details/15aced6a6a61df90,1,2:35,3 Rnd (5-5-5),Greg Kleynjans,Flyweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",0,0,11 of 18,1 of 6,61%,16%,20 of 37,1 of 6,0 of 0,0 of 1,---,0%,2,0,0,0,2:17,0:00,8 of 15,1 of 6,2 of 2,0 of 0,1 of 1,0 of 0,5 of 9,1 of 6,1 of 1,0 of 0,5 of 8,0 of 0
James Moontasri,Anton Zafir,W,L,http://ufcstats.com/fight-details/d20dc2d68305fc31,1,4:36,3 Rnd (5-5-5),Steve Perceval,Welterweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",1,0,11 of 21,17 of 25,52%,68%,13 of 23,31 of 40,0 of 0,1 of 3,---,33%,0,0,0,0,0:03,2:50,5 of 14,8 of 14,3 of 4,6 of 8,3 of 3,3 of 3,8 of 11,5 of 11,1 of 2,5 of 7,2 of 8,7 of 7
Richie Vaculik,Danny Martinez,L,W,http://ufcstats.com/fight-details/f602cc168383432f,3,5:00,3 Rnd (5-5-5),John Sharp,Flyweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",0,0,20 of 51,12 of 53,39%,22%,28 of 59,30 of 71,1 of 1,3 of 3,100%,100%,0,0,0,0,0:25,2:31,14 of 43,8 of 45,2 of 4,4 of 8,4 of 4,0 of 0,20 of 51,7 of 47,0 of 0,1 of 1,0 of 0,4 of 5
Mark Hunt,Antonio Silva,W,L,http://ufcstats.com/fight-details/27a6a6d4e3f8be75,1,3:41,3 Rnd (5-5-5),John Sharp,Heavyweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",1,0,12 of 18,9 of 17,66%,52%,13 of 19,9 of 17,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,7 of 13,2 of 6,2 of 2,2 of 5,3 of 3,5 of 6,10 of 15,9 of 17,0 of 1,0 of 0,2 of 2,0 of 0
Uriah Hall,Robert Whittaker,L,W,http://ufcstats.com/fight-details/766dc3c5592b4d0d,3,5:00,3 Rnd (5-5-5),Steve Perceval,Middleweight Bout,"November 14, 2015","Melbourne, Victoria, Australia",0,0,9 of 16,25 of 49,56%,51%,11 of 18,37 of 61,0 of 0,1 of 1,---,100%,0,0,1,0,0:11,2:20,3 of 9,14 of 34,1 of 2,1 of 3,5 of 5,10 of 12,8 of 14,13 of 32,0 of 0,0 of 0,1 of 2,12 of 17
Alex Oliveira,Piotr Hallmann,W,L,http://ufcstats.com/fight-details/a637cd1012af870f,3,0:51,3 Rnd (5-5-5),Mario Yamasaki,Lightweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",0,0,26 of 65,19 of 35,40%,54%,28 of 67,27 of 43,0 of 4,0 of 1,0%,0%,0,0,0,0,2:40,0:07,20 of 57,12 of 24,5 of 7,4 of 6,1 of 1,3 of 5,13 of 36,7 of 15,13 of 29,12 of 20,0 of 0,0 of 0
Glover Teixeira,Patrick Cummins,W,L,http://ufcstats.com/fight-details/2be2c9ddfbee0cd4,2,1:12,3 Rnd (5-5-5),Herb Dean,Light Heavyweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",0,0,32 of 63,30 of 75,50%,40%,34 of 65,35 of 80,0 of 1,4 of 5,0%,80%,0,0,0,0,0:02,1:21,30 of 60,20 of 65,2 of 3,7 of 7,0 of 0,3 of 3,32 of 63,19 of 62,0 of 0,11 of 13,0 of 0,0 of 0
Thomas Almeida,Anthony Birchak,W,L,http://ufcstats.com/fight-details/3c6659f1b09760ba,1,4:24,3 Rnd (5-5-5),Keith Peterson,Bantamweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",1,0,24 of 50,27 of 91,48%,29%,26 of 52,27 of 91,0 of 0,0 of 5,---,0%,0,0,0,0,0:05,0:21,19 of 44,16 of 71,4 of 5,3 of 10,1 of 1,8 of 10,18 of 43,24 of 84,6 of 7,3 of 7,0 of 0,0 of 0
Gleison Tibau,Abel Trujillo,L,W,http://ufcstats.com/fight-details/37c732554828dcc3,1,1:45,3 Rnd (5-5-5),Keith Peterson,Lightweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",0,0,3 of 5,0 of 0,60%,---,6 of 8,5 of 5,2 of 3,0 of 0,66%,---,1,0,0,0,1:28,0:02,3 of 5,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,0 of 0,3 of 3,0 of 0
Yan Cabral,Johnny Case,L,W,http://ufcstats.com/fight-details/dc4f7eaaa2c9d450,3,5:00,3 Rnd (5-5-5),Herb Dean,Lightweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",0,0,9 of 15,14 of 40,60%,35%,9 of 17,19 of 46,2 of 4,0 of 0,50%,---,0,0,0,1,2:09,0:35,5 of 11,8 of 29,2 of 2,2 of 7,2 of 2,4 of 4,9 of 15,10 of 35,0 of 0,3 of 3,0 of 0,1 of 2
Edimilson Souza,Chas Skelly,L,W,http://ufcstats.com/fight-details/6d9f6f7004c791d5,2,1:56,3 Rnd (5-5-5),Herb Dean,Featherweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",1,0,6 of 16,7 of 12,37%,58%,6 of 16,11 of 18,0 of 0,1 of 1,---,100%,0,1,0,0,1:31,2:10,5 of 15,7 of 11,1 of 1,0 of 1,0 of 0,0 of 0,2 of 7,0 of 5,0 of 0,1 of 1,4 of 9,6 of 6
Pedro Munhoz,Jimmie Rivera,L,W,http://ufcstats.com/fight-details/d2198a7ae05b24c1,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Bantamweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",0,0,16 of 52,35 of 88,30%,39%,16 of 52,35 of 88,0 of 1,0 of 1,0%,0%,0,0,0,0,0:00,0:00,6 of 32,25 of 71,3 of 11,5 of 12,7 of 9,5 of 5,16 of 52,35 of 88,0 of 0,0 of 0,0 of 0,0 of 0
Viscardi Andrade,Gasan Umalatov,W,L,http://ufcstats.com/fight-details/4ff0075d932d5b14,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,Welterweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",0,0,17 of 38,6 of 16,44%,37%,19 of 41,6 of 17,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:04,6 of 20,2 of 11,8 of 13,1 of 2,3 of 5,3 of 3,12 of 33,6 of 14,5 of 5,0 of 2,0 of 0,0 of 0
Fabio Maldonado,Corey Anderson,L,W,http://ufcstats.com/fight-details/0339f66f18a3e0bf,3,5:00,3 Rnd (5-5-5),Herb Dean,Light Heavyweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",0,0,8 of 21,29 of 67,38%,43%,15 of 28,44 of 91,0 of 0,2 of 4,---,50%,0,0,0,0,0:00,2:22,4 of 13,19 of 54,4 of 8,9 of 12,0 of 0,1 of 1,6 of 17,17 of 47,2 of 4,3 of 7,0 of 0,9 of 13
Gilbert Burns,Rashid Magomedov,L,W,http://ufcstats.com/fight-details/f0b151cc6c91b259,3,5:00,3 Rnd (5-5-5),Keith Peterson,Lightweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",0,0,11 of 27,19 of 39,40%,48%,11 of 27,27 of 47,2 of 2,0 of 0,100%,---,0,0,0,0,1:07,0:02,6 of 17,14 of 31,2 of 5,4 of 7,3 of 5,1 of 1,11 of 26,19 of 39,0 of 1,0 of 0,0 of 0,0 of 0
Vitor Belfort,Dan Henderson,W,L,http://ufcstats.com/fight-details/93c4b798134c71d4,1,2:07,5 Rnd (5-5-5-5-5),Mario Yamasaki,Middleweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",1,0,6 of 11,3 of 3,54%,100%,6 of 11,3 of 3,0 of 0,0 of 0,---,---,0,0,0,0,0:07,0:00,5 of 10,0 of 0,1 of 1,0 of 0,0 of 0,3 of 3,1 of 1,3 of 3,2 of 3,0 of 0,3 of 7,0 of 0
Bruno Korea,Matheus Nicolau,L,W,http://ufcstats.com/fight-details/e5461559114e30ff,3,3:27,3 Rnd (5-5-5),Eduardo Herdy,Bantamweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",0,1,8 of 27,18 of 32,29%,56%,11 of 30,34 of 53,0 of 0,2 of 3,---,66%,0,0,0,0,0:00,2:06,4 of 22,7 of 21,2 of 3,5 of 5,2 of 2,6 of 6,7 of 25,15 of 26,1 of 1,1 of 1,0 of 1,2 of 5
Clay Guida,Thiago Tavares,L,W,http://ufcstats.com/fight-details/b21e4b6c4126c782,1,0:39,3 Rnd (5-5-5),Mario Yamasaki,Featherweight Bout,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",0,0,3 of 11,2 of 7,27%,28%,3 of 11,2 of 7,1 of 1,0 of 0,100%,---,0,1,0,0,0:18,0:01,2 of 10,2 of 7,0 of 0,0 of 0,1 of 1,0 of 0,3 of 11,2 of 7,0 of 0,0 of 0,0 of 0,0 of 0
Paddy Holohan,Louis Smolka,L,W,http://ufcstats.com/fight-details/8d1559bbcea7e92a,2,4:09,3 Rnd (5-5-5),Marc Goddard,Flyweight Bout,"October 24, 2015","Dublin, Leinster, Ireland",0,0,11 of 19,19 of 27,57%,70%,19 of 28,23 of 31,3 of 7,0 of 2,42%,0%,0,0,1,1,2:42,1:08,4 of 10,15 of 23,6 of 8,3 of 3,1 of 1,1 of 1,3 of 9,13 of 21,1 of 3,1 of 1,7 of 7,5 of 5
Aisling Daly,Ericka Almeida,W,L,http://ufcstats.com/fight-details/475a41d83edd47dd,3,5:00,3 Rnd (5-5-5),Piotr Michalak,Women's Strawweight Bout,"October 24, 2015","Dublin, Leinster, Ireland",0,0,11 of 26,10 of 19,42%,52%,53 of 71,35 of 47,1 of 2,0 of 0,50%,---,0,0,0,0,3:46,0:45,9 of 22,6 of 11,2 of 4,3 of 7,0 of 0,1 of 1,1 of 5,1 of 3,6 of 11,9 of 16,4 of 10,0 of 0
Nicolas Dalby,Darren Till,D,D,http://ufcstats.com/fight-details/2e0ae17a22a6f824,3,5:00,3 Rnd (5-5-5),Marc Goddard,Welterweight Bout,"October 24, 2015","Dublin, Leinster, Ireland",0,1,12 of 33,26 of 40,36%,65%,15 of 36,26 of 40,0 of 0,0 of 0,---,---,0,0,0,0,0:25,0:06,6 of 22,17 of 29,2 of 5,8 of 10,4 of 6,1 of 1,6 of 25,16 of 23,6 of 8,3 of 6,0 of 0,7 of 11
Scott Askham,Krzysztof Jotko,L,W,http://ufcstats.com/fight-details/3e39829aedc9346f,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Middleweight Bout,"October 24, 2015","Dublin, Leinster, Ireland",0,0,7 of 12,19 of 32,58%,59%,12 of 17,55 of 70,0 of 0,2 of 2,---,100%,1,0,0,0,0:00,3:32,3 of 8,14 of 27,0 of 0,2 of 2,4 of 4,3 of 3,4 of 9,3 of 10,0 of 0,0 of 0,3 of 3,16 of 22
Cathal Pendred,Tom Breese,L,W,http://ufcstats.com/fight-details/2ad291d61792fd7d,1,4:37,3 Rnd (5-5-5),Leon Roberts,Welterweight Bout,"October 24, 2015","Dublin, Leinster, Ireland",0,1,5 of 24,23 of 35,20%,65%,8 of 28,24 of 36,0 of 1,0 of 0,0%,---,0,0,0,0,0:29,0:03,2 of 17,20 of 32,2 of 2,3 of 3,1 of 5,0 of 0,3 of 22,22 of 34,2 of 2,1 of 1,0 of 0,0 of 0
Neil Seery,Jon Delos Reyes,W,L,http://ufcstats.com/fight-details/a1569926652ebc36,2,4:12,3 Rnd (5-5-5),Kevin Sataki,Flyweight Bout,"October 24, 2015","Dublin, Leinster, Ireland",0,0,28 of 68,12 of 49,41%,24%,30 of 70,12 of 49,1 of 2,1 of 2,50%,50%,0,0,0,0,1:07,0:59,24 of 63,7 of 43,0 of 1,5 of 6,4 of 4,0 of 0,25 of 61,6 of 41,3 of 5,5 of 6,0 of 2,1 of 2
Norman Parke,Reza Madadi,W,L,http://ufcstats.com/fight-details/5ae114b3fdef6d2f,3,5:00,3 Rnd (5-5-5),Leon Roberts,Lightweight Bout,"October 24, 2015","Dublin, Leinster, Ireland",0,0,12 of 43,6 of 19,27%,31%,12 of 43,7 of 20,0 of 0,0 of 4,---,0%,0,0,0,0,0:55,1:06,8 of 36,3 of 15,4 of 7,2 of 3,0 of 0,1 of 1,11 of 41,5 of 17,1 of 2,1 of 2,0 of 0,0 of 0
Darren Elkins,Robert Whiteford,W,L,http://ufcstats.com/fight-details/cf3a93dd5460593c,3,5:00,3 Rnd (5-5-5),Marc Goddard,Featherweight Bout,"October 24, 2015","Dublin, Leinster, Ireland",0,0,9 of 52,9 of 26,17%,34%,20 of 65,15 of 32,2 of 3,0 of 0,66%,---,0,0,0,0,1:40,0:29,7 of 50,9 of 26,2 of 2,0 of 0,0 of 0,0 of 0,3 of 45,7 of 24,2 of 3,0 of 0,4 of 4,2 of 2
Stevie Ray,Mickael Lebout,W,L,http://ufcstats.com/fight-details/665a35fcac41d277,3,5:00,3 Rnd (5-5-5),Leon Roberts,Lightweight Bout,"October 24, 2015","Dublin, Leinster, Ireland",0,0,18 of 50,5 of 50,36%,10%,18 of 50,5 of 50,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,11 of 40,5 of 45,4 of 5,0 of 4,3 of 5,0 of 1,18 of 50,5 of 49,0 of 0,0 of 1,0 of 0,0 of 0
Bubba Bush,Garreth McLellan,L,W,http://ufcstats.com/fight-details/43313a340ff0d2b5,3,4:58,3 Rnd (5-5-5),Piotr Michalak,Middleweight Bout,"October 24, 2015","Dublin, Leinster, Ireland",0,0,7 of 12,1 of 7,58%,14%,18 of 27,3 of 9,2 of 3,0 of 0,66%,---,0,1,0,0,4:20,0:01,3 of 8,0 of 5,1 of 1,0 of 0,3 of 3,1 of 2,3 of 4,1 of 7,1 of 1,0 of 0,3 of 7,0 of 0
Joseph Benavidez,Ali Bagautinov,W,L,http://ufcstats.com/fight-details/c43e99000f3c77b5,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Flyweight Bout,"October 03, 2015","Houston, Texas, USA",0,0,12 of 37,10 of 36,32%,27%,12 of 37,10 of 36,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:01,8 of 31,6 of 30,2 of 4,2 of 2,2 of 2,2 of 4,12 of 36,9 of 35,0 of 1,1 of 1,0 of 0,0 of 0
Yair Rodriguez,Dan Hooker,W,L,http://ufcstats.com/fight-details/7ab1cdfe3e540856,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Featherweight Bout,"October 03, 2015","Houston, Texas, USA",0,0,13 of 23,2 of 14,56%,14%,15 of 25,12 of 24,1 of 4,0 of 1,25%,0%,0,0,0,0,0:19,1:37,3 of 11,1 of 9,5 of 5,1 of 1,5 of 7,0 of 4,9 of 17,0 of 8,4 of 6,2 of 6,0 of 0,0 of 0
Daniel Cormier,Alexander Gustafsson,W,L,http://ufcstats.com/fight-details/f5de8b2c81e91129,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,UFC Light Heavyweight Title Bout,"October 03, 2015","Houston, Texas, USA",0,0,14 of 22,5 of 21,63%,23%,56 of 66,7 of 23,1 of 1,0 of 1,100%,0%,0,0,0,0,3:03,0:00,8 of 16,1 of 13,0 of 0,2 of 5,6 of 6,2 of 3,7 of 12,4 of 19,1 of 3,1 of 2,6 of 7,0 of 0
Ryan Bader,Rashad Evans,W,L,http://ufcstats.com/fight-details/e2e23aee91e27847,3,5:00,3 Rnd (5-5-5),Herb Dean,Light Heavyweight Bout,"October 03, 2015","Houston, Texas, USA",0,0,18 of 45,11 of 36,40%,30%,18 of 45,11 of 36,0 of 1,0 of 1,0%,0%,0,0,0,0,0:03,0:05,15 of 40,8 of 32,2 of 3,3 of 4,1 of 2,0 of 0,17 of 44,11 of 36,1 of 1,0 of 0,0 of 0,0 of 0
Adriano Martins,Islam Makhachev,W,L,http://ufcstats.com/fight-details/678db400f85ae15c,1,1:46,3 Rnd (5-5-5),Frank Collazo,Lightweight Bout,"October 03, 2015","Houston, Texas, USA",1,0,3 of 7,4 of 15,42%,26%,3 of 7,4 of 15,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:02,2 of 6,2 of 13,0 of 0,2 of 2,1 of 1,0 of 0,2 of 6,4 of 15,0 of 0,0 of 0,1 of 1,0 of 0
Chris Cariaso,Sergio Pettis,L,W,http://ufcstats.com/fight-details/278cd1803ccc004f,3,5:00,3 Rnd (5-5-5),Joe Solis,Flyweight Bout,"October 03, 2015","Houston, Texas, USA",0,1,22 of 37,24 of 77,59%,31%,25 of 40,42 of 98,0 of 0,1 of 2,---,50%,0,0,0,0,0:00,2:30,4 of 17,21 of 72,13 of 15,3 of 5,5 of 5,0 of 0,18 of 33,9 of 41,3 of 3,0 of 1,1 of 1,15 of 35
Derrick Lewis,Viktor Pesta,W,L,http://ufcstats.com/fight-details/2b3b6e96cea0f757,3,1:15,3 Rnd (5-5-5),Kerry Hatley,Heavyweight Bout,"October 03, 2015","Houston, Texas, USA",0,0,2 of 5,4 of 5,40%,80%,4 of 7,22 of 26,0 of 3,3 of 7,0%,42%,0,0,0,0,0:13,4:05,2 of 5,1 of 2,0 of 0,2 of 2,0 of 0,1 of 1,0 of 3,1 of 1,2 of 2,0 of 1,0 of 0,3 of 3
Francisco Trevino,Sage Northcutt,L,W,http://ufcstats.com/fight-details/fee873593f588437,1,0:57,3 Rnd (5-5-5),Herb Dean,Lightweight Bout,"October 03, 2015","Houston, Texas, USA",0,0,1 of 3,21 of 31,33%,67%,1 of 3,21 of 31,0 of 0,1 of 1,---,100%,0,0,0,0,0:09,0:00,0 of 1,19 of 29,0 of 0,1 of 1,1 of 2,1 of 1,1 of 3,3 of 4,0 of 0,8 of 11,0 of 0,10 of 16
Jessica Eye,Julianna Pena,L,W,http://ufcstats.com/fight-details/bdc1561ed4c6e22f,3,5:00,3 Rnd (5-5-5),Frank Collazo,Women's Bantamweight Bout,"October 03, 2015","Houston, Texas, USA",0,0,15 of 28,20 of 32,53%,62%,22 of 36,49 of 63,0 of 0,2 of 4,---,50%,0,0,0,0,2:00,2:09,4 of 12,13 of 22,8 of 12,5 of 8,3 of 4,2 of 2,8 of 16,3 of 12,7 of 12,8 of 11,0 of 0,9 of 9
